applicant_id,group,income,credit_score,years_employed,debt_to_income,nontraditional_gig,historical_approval
APP-1056,Group A,71547.45,754.0,9.0,0.154,1,1
APP-1057,Group A,85657.2,647.0,11.1,0.342,0,1
APP-1058,Group A,84880.6,723.0,5.3,0.226,1,1
APP-1059,Group A,81476.0,695.0,2.0,0.276,1,1
APP-1060,Group A,90433.97,568.0,10.4,0.141,0,1
APP-1061,Group A,82485.6,706.0,9.4,0.18,0,1
APP-1062,Group B,43581.38,663.0,3.9,0.408,0,1
APP-1063,Group A,33096.85,723.0,6.2,0.379,0,1
APP-1064,Group A,105015.2,753.0,6.0,0.252,0,1
APP-1065,Group A,91941.58,771.0,10.6,0.273,0,1
APP-1066,Group A,95605.67,722.0,6.2,0.264,0,1
APP-1067,Group B,52870.93,,3.7,0.257,1,1
APP-1068,Group A,76572.7,610.0,9.7,0.308,0,1
APP-1069,Group B,18000.0,831.0,1.8,0.4,0,1
APP-1070,Group B,71947.29,572.0,5.5,0.255,1,1
APP-1071,Group A,80531.38,677.0,10.2,0.267,0,1
APP-1072,Group A,92401.35,735.0,7.5,0.309,0,1
APP-1073,Group B,69333.38,,2.9,0.367,1,1
APP-1074,Group B,71899.47,717.0,,0.246,0,1
APP-1075,Group B,38110.69,659.0,,0.335,1,1
APP-1076,Group B,81046.8,669.0,3.4,0.456,0,1
APP-1077,Group A,95938.4,738.0,9.2,0.331,0,1
APP-1078,Group A,71998.89,716.0,6.5,0.281,0,1
APP-1079,Group A,49439.55,628.0,4.3,0.404,0,1
APP-1080,Group B,40498.69,554.0,,0.461,1,1
APP-1081,Group B,18000.0,,,0.473,1,1
APP-1082,Group A,47208.55,628.0,10.1,0.475,0,0
APP-1083,Group A,88599.46,739.0,6.2,0.311,1,1
APP-1084,Group A,59920.71,696.0,1.9,0.272,0,1
APP-1085,Group A,94418.01,679.0,1.3,0.312,0,1
APP-1086,Group B,34186.69,,1.5,0.338,0,1
APP-1087,Group B,34554.41,676.0,8.6,0.382,0,1
APP-1088,Group B,23326.11,,4.0,0.415,1,1
APP-1089,Group A,63420.73,713.0,8.4,0.291,0,1
APP-1090,Group A,75977.2,712.0,4.9,0.227,0,1
APP-1091,Group B,72689.56,620.0,3.3,0.435,0,1
APP-1092,Group B,39068.67,698.0,3.3,0.485,1,1
APP-1093,Group A,79789.55,671.0,13.7,0.181,0,1
APP-1094,Group B,63407.98,667.0,,0.347,0,1
APP-1095,Group A,99491.69,791.0,2.4,0.301,0,1
APP-1096,Group A,73234.36,839.0,4.6,0.411,0,1
APP-1097,Group A,94527.68,765.0,7.9,0.237,0,1
APP-1098,Group A,67417.45,700.0,5.3,0.199,0,1
APP-1099,Group A,63268.72,700.0,4.7,0.283,0,1
APP-1100,Group A,79675.72,632.0,8.0,0.347,0,1
APP-1101,Group B,30893.14,560.0,5.7,0.555,1,0
APP-1102,Group A,60899.76,707.0,8.7,0.286,0,1
APP-1103,Group A,55186.15,741.0,4.3,0.287,0,1
APP-1104,Group B,38760.46,720.0,,0.421,1,1
APP-1105,Group A,64321.82,640.0,7.2,0.342,0,1
APP-1106,Group A,121386.59,730.0,7.6,0.255,0,1
APP-1107,Group B,61067.25,,1.3,0.271,0,1
APP-1108,Group A,38275.89,735.0,3.7,0.108,0,1
APP-1109,Group A,91726.47,712.0,7.8,0.28,1,1
APP-1110,Group A,76636.59,705.0,9.8,0.257,1,1
APP-1111,Group A,86368.82,740.0,5.5,0.261,0,1
APP-1112,Group B,61657.18,582.0,4.1,0.359,1,1
APP-1113,Group B,47947.36,653.0,10.2,0.33,1,1
APP-1114,Group B,52186.35,,1.3,0.329,0,1
APP-1115,Group B,61139.64,644.0,0.0,0.295,1,1
APP-1116,Group B,35091.96,631.0,,0.42,1,1
APP-1117,Group A,55669.66,731.0,4.9,0.275,1,1
APP-1118,Group B,54676.01,,2.5,0.33,1,1
APP-1119,Group A,75313.73,674.0,2.4,0.353,0,1
APP-1120,Group B,18000.0,,0.6,0.338,0,1
APP-1121,Group B,73740.57,619.0,6.2,0.436,0,1
APP-1122,Group A,63469.79,580.0,5.4,0.311,0,1
APP-1123,Group A,55117.88,708.0,1.1,0.445,0,1
APP-1124,Group A,74453.91,663.0,5.7,0.209,0,1
APP-1125,Group A,28946.06,688.0,4.4,0.098,0,1
APP-1126,Group B,39956.69,708.0,2.5,0.543,0,1
APP-1127,Group B,50409.83,700.0,7.5,0.481,1,1
APP-1128,Group A,101034.83,788.0,7.1,0.22,0,1
APP-1129,Group A,76772.93,796.0,6.3,0.287,0,1
APP-1130,Group A,67693.57,719.0,3.0,0.202,0,1
APP-1131,Group A,88605.31,768.0,5.6,0.245,0,1
APP-1132,Group A,98714.08,746.0,10.0,0.219,0,1
APP-1133,Group A,49948.22,685.0,7.8,0.206,0,1
APP-1134,Group B,60205.98,781.0,2.4,0.453,1,1
APP-1135,Group A,104112.37,800.0,9.2,0.327,0,1
APP-1136,Group A,67700.95,668.0,3.9,0.123,0,1
APP-1137,Group B,62429.97,650.0,2.8,0.327,0,1
APP-1138,Group A,81148.13,751.0,9.6,0.233,1,1
APP-1139,Group B,67076.13,587.0,7.0,0.346,1,1
APP-1140,Group B,63931.86,716.0,4.5,0.23,1,1
APP-1141,Group A,73112.56,706.0,9.4,0.326,0,1
APP-1142,Group A,99765.66,711.0,7.9,0.416,0,1
APP-1143,Group A,37016.47,714.0,12.4,0.33,1,1
APP-1144,Group A,100795.06,744.0,6.6,0.182,0,1
APP-1145,Group A,91569.09,664.0,10.9,0.246,0,1
APP-1146,Group B,82058.28,666.0,1.0,0.404,0,1
APP-1147,Group A,80559.66,783.0,2.7,0.191,0,1
APP-1148,Group A,89447.63,691.0,12.2,0.248,1,1
APP-1149,Group A,41023.02,783.0,12.0,0.22,0,1
APP-1150,Group B,24538.19,,,0.616,1,0
APP-1151,Group A,77528.98,676.0,12.6,0.431,0,1
APP-1152,Group A,95481.25,740.0,9.3,0.236,0,1
APP-1153,Group A,97318.04,678.0,9.8,0.335,0,1
APP-1154,Group B,31449.6,,2.2,0.173,0,1
APP-1155,Group A,84601.19,642.0,7.6,0.326,0,1
APP-1156,Group B,73978.61,,3.4,0.264,1,1
APP-1157,Group B,73575.54,514.0,0.9,0.395,0,1
APP-1158,Group A,77817.72,622.0,8.0,0.268,0,1
APP-1159,Group B,70593.35,627.0,,0.4,1,1
APP-1160,Group A,51601.66,566.0,6.9,0.422,0,1
APP-1161,Group B,68203.19,691.0,4.9,0.25,0,1
APP-1162,Group B,65789.45,720.0,3.7,0.34,0,1
APP-1163,Group A,82100.45,699.0,4.5,0.206,0,1
APP-1164,Group A,104853.77,696.0,6.9,0.22,0,1
APP-1165,Group B,53829.6,566.0,,0.257,1,1
APP-1166,Group A,76339.81,736.0,2.3,0.238,0,1
APP-1167,Group A,52792.01,738.0,3.0,0.473,1,1
APP-1168,Group A,42697.36,768.0,4.8,0.215,1,1
APP-1169,Group A,95350.02,843.0,6.1,0.292,0,1
APP-1170,Group B,37103.38,,1.3,0.068,0,1
APP-1171,Group A,66032.4,811.0,12.3,0.197,0,1
APP-1172,Group A,75415.87,674.0,6.5,0.39,0,1
APP-1173,Group A,62430.3,740.0,4.9,0.239,0,1
APP-1174,Group B,54208.07,746.0,,0.335,1,1
APP-1175,Group A,67790.53,736.0,8.0,0.277,0,1
APP-1176,Group B,67895.98,635.0,3.5,0.679,0,1
APP-1177,Group A,95767.78,735.0,10.9,0.235,1,1
APP-1178,Group B,54038.87,,6.3,0.293,1,1
APP-1179,Group A,98762.91,737.0,9.3,0.265,0,1
APP-1180,Group A,84694.66,668.0,5.1,0.362,1,1
APP-1181,Group A,69689.06,734.0,5.4,0.239,1,1
APP-1182,Group B,34807.79,668.0,,0.253,0,1
APP-1183,Group B,55447.38,656.0,5.3,0.361,0,1
APP-1184,Group A,53752.13,731.0,6.4,0.359,0,1
APP-1185,Group B,52589.04,623.0,,0.382,1,1
APP-1186,Group B,55498.92,617.0,4.8,0.33,1,1
APP-1187,Group A,111157.52,728.0,6.1,0.124,0,1
APP-1188,Group A,32562.9,680.0,10.9,0.278,0,1
APP-1189,Group A,85916.34,668.0,5.3,0.247,0,1
APP-1190,Group A,107307.51,694.0,10.7,0.402,0,1
APP-1191,Group B,50145.58,720.0,4.1,0.374,0,1
APP-1192,Group B,30777.28,,2.8,0.38,0,1
APP-1193,Group B,44762.8,,2.7,0.438,1,1
APP-1194,Group A,77527.59,807.0,4.0,0.226,0,1
APP-1195,Group A,95573.65,644.0,9.2,0.333,0,1
APP-1196,Group B,59376.74,624.0,5.7,0.55,0,1
APP-1197,Group B,21312.19,,4.4,0.47,0,1
APP-1198,Group B,42364.09,,4.8,0.379,0,1
APP-1199,Group B,44166.0,,4.5,0.392,1,1
APP-1200,Group B,35162.1,,2.7,0.441,1,1
APP-1201,Group A,81790.29,678.0,4.3,0.287,0,1
APP-1202,Group A,74611.61,695.0,9.4,0.151,0,1
APP-1203,Group B,70901.99,584.0,5.1,0.45,1,1
APP-1204,Group B,50119.91,629.0,4.2,0.476,0,1
APP-1205,Group A,81950.61,768.0,7.8,0.331,0,1
APP-1206,Group A,78791.63,760.0,0.0,0.334,0,1
APP-1207,Group B,78533.01,617.0,6.2,0.383,0,1
APP-1208,Group A,107245.57,776.0,11.9,0.339,0,1
APP-1209,Group A,55690.04,712.0,6.2,0.088,0,1
APP-1210,Group A,77464.1,738.0,7.1,0.416,0,1
APP-1211,Group B,50100.46,,,0.139,0,1
APP-1212,Group B,44272.56,595.0,0.5,0.352,1,1
APP-1213,Group A,57113.35,677.0,6.4,0.281,0,1
APP-1214,Group B,46434.24,,4.8,0.494,1,1
APP-1215,Group A,82547.01,701.0,4.7,0.264,0,1
APP-1216,Group A,68618.92,670.0,10.2,0.282,0,1
APP-1217,Group B,44815.99,598.0,0.6,0.174,0,1
APP-1218,Group B,56808.28,673.0,0.0,0.45,1,1
APP-1219,Group B,54607.62,600.0,2.2,0.394,0,1
APP-1220,Group B,18000.0,593.0,3.5,0.261,1,1
APP-1221,Group A,85238.48,702.0,10.7,0.373,0,1
APP-1222,Group A,73028.24,711.0,9.1,0.299,0,1
APP-1223,Group A,82630.77,742.0,7.2,0.22,0,1
APP-1224,Group A,74335.4,700.0,6.6,0.129,0,1
APP-1225,Group A,35812.2,747.0,9.6,0.383,0,0
APP-1226,Group B,40367.91,755.0,1.0,0.452,0,1
APP-1227,Group A,69684.61,782.0,8.6,0.319,1,1
APP-1228,Group B,49582.44,,6.0,0.185,0,1
APP-1229,Group B,80541.64,691.0,1.5,0.508,0,1
APP-1230,Group B,32097.32,626.0,3.2,0.438,0,1
APP-1231,Group A,75991.57,702.0,2.8,0.377,0,1
APP-1232,Group A,41331.24,670.0,9.9,0.409,0,1
APP-1233,Group A,112827.76,687.0,6.9,0.188,0,1
APP-1234,Group A,85925.68,710.0,5.7,0.271,0,1
APP-1235,Group B,32233.38,,0.0,0.325,1,0
APP-1236,Group A,88939.09,693.0,10.5,0.31,1,1
APP-1237,Group A,44206.67,636.0,8.6,0.117,0,1
APP-1238,Group B,83185.27,,,0.41,0,1
APP-1239,Group A,53731.96,666.0,3.2,0.211,1,1
APP-1240,Group B,18000.0,689.0,1.3,0.384,0,0
APP-1241,Group B,48304.83,792.0,4.7,0.45,1,1
APP-1242,Group B,29868.11,672.0,2.8,0.349,1,1
APP-1243,Group A,44509.57,722.0,7.8,0.422,1,1
APP-1244,Group A,81161.01,690.0,7.8,0.253,0,1
APP-1245,Group B,49756.88,564.0,4.0,0.399,1,0
APP-1246,Group A,39539.35,773.0,4.3,0.228,0,1
APP-1247,Group B,56328.48,483.0,10.8,0.333,1,1
APP-1248,Group B,51011.91,659.0,5.3,0.425,1,1
APP-1249,Group B,72984.51,,3.7,0.46,1,1
APP-1250,Group A,88118.02,720.0,6.9,0.249,0,1
APP-1251,Group A,94039.21,765.0,5.8,0.22,0,1
APP-1252,Group B,40719.09,696.0,,0.411,0,1
APP-1253,Group A,85300.85,746.0,8.3,0.232,0,1
APP-1254,Group A,98778.27,745.0,8.1,0.366,0,1
APP-1255,Group A,58595.17,709.0,2.1,0.149,0,1
APP-1256,Group B,37736.44,620.0,,0.381,0,1
APP-1257,Group B,78190.38,640.0,3.6,0.368,0,1
APP-1258,Group A,42848.8,672.0,4.7,0.205,0,1
APP-1259,Group A,71901.51,745.0,6.2,0.331,0,1
APP-1260,Group B,63437.52,559.0,,0.388,0,1
APP-1261,Group B,36615.89,662.0,4.0,0.46,0,1
APP-1262,Group A,111010.22,772.0,7.6,0.241,0,1
APP-1263,Group A,91867.45,738.0,7.7,0.39,0,1
APP-1264,Group B,59063.49,607.0,3.9,0.183,0,1
APP-1265,Group B,58034.3,,2.4,0.362,0,1
APP-1266,Group B,46097.9,650.0,6.1,0.273,0,1
APP-1267,Group B,47086.44,,5.8,0.311,0,1
APP-1268,Group A,80251.23,720.0,9.6,0.269,0,1
APP-1269,Group A,73689.05,809.0,11.7,0.174,0,1
APP-1270,Group B,69377.15,720.0,4.2,0.38,0,1
APP-1271,Group B,55659.45,621.0,2.9,0.374,0,1
APP-1272,Group B,52009.5,,0.4,0.13,0,1
APP-1273,Group B,26717.84,,7.1,0.328,1,1
APP-1274,Group A,87444.14,653.0,10.1,0.274,0,1
APP-1275,Group A,94418.83,790.0,4.8,0.247,0,1
APP-1276,Group B,36346.06,713.0,1.0,0.524,1,1
APP-1277,Group B,55461.27,,1.8,0.219,0,1
APP-1278,Group B,52736.55,575.0,5.9,0.309,0,1
APP-1279,Group B,24544.26,,3.5,0.096,0,0
APP-1280,Group B,95427.08,691.0,,0.334,1,1
APP-1281,Group A,115358.16,721.0,10.2,0.222,0,1
APP-1282,Group A,83769.51,711.0,9.0,0.327,0,1
APP-1283,Group A,94617.07,673.0,0.5,0.3,0,1
APP-1284,Group A,78295.22,713.0,7.5,0.3,0,1
APP-1285,Group A,29530.07,663.0,5.8,0.266,0,1
APP-1286,Group A,72934.9,628.0,6.5,0.413,0,0
APP-1287,Group A,85741.82,713.0,6.4,0.228,0,1
APP-1288,Group A,67496.07,694.0,10.8,0.325,0,1
APP-1289,Group A,81514.15,692.0,3.1,0.406,0,1
APP-1290,Group A,58782.85,647.0,6.3,0.317,0,1
APP-1291,Group A,81601.3,741.0,3.7,0.268,1,1
APP-1292,Group B,23062.1,652.0,9.1,0.361,0,1
APP-1293,Group A,91830.57,679.0,13.6,0.128,0,1
APP-1294,Group A,46520.86,697.0,5.7,0.327,1,1
APP-1295,Group A,75959.23,727.0,5.7,0.151,0,1
APP-1296,Group B,55414.71,597.0,,0.362,1,1
APP-1297,Group A,73302.2,648.0,4.1,0.346,0,1
APP-1298,Group B,34784.15,671.0,7.7,0.396,1,1
APP-1299,Group A,87369.77,700.0,8.9,0.178,0,1
APP-1300,Group A,92646.66,687.0,5.6,0.301,0,1
APP-1301,Group A,74605.02,686.0,4.6,0.307,0,1
APP-1302,Group A,89883.84,701.0,5.1,0.386,0,1
APP-1303,Group B,56455.21,650.0,4.3,0.419,0,1
APP-1304,Group B,39676.66,,0.0,0.449,1,1
APP-1305,Group B,39218.54,601.0,,0.363,0,1
APP-1306,Group A,66859.27,744.0,7.3,0.327,0,1
APP-1307,Group A,85984.62,842.0,4.6,0.357,0,1
APP-1308,Group B,48595.83,,3.7,0.511,1,1
APP-1309,Group A,83180.56,644.0,5.3,0.198,1,1
APP-1310,Group A,22915.72,720.0,8.3,0.312,0,1
APP-1311,Group A,95740.95,747.0,4.1,0.314,1,1
APP-1312,Group A,39428.25,726.0,5.5,0.273,0,0
APP-1313,Group B,64424.26,474.0,2.2,0.258,0,1
APP-1314,Group B,64228.72,565.0,5.7,0.406,0,1
APP-1315,Group B,32878.65,562.0,6.2,0.418,0,1
APP-1316,Group A,90667.81,697.0,5.2,0.394,0,1
APP-1317,Group A,63031.48,721.0,12.4,0.311,0,1
APP-1318,Group A,83367.96,780.0,9.0,0.16,0,1
APP-1319,Group A,94407.87,750.0,7.1,0.204,0,1
APP-1320,Group A,87134.46,701.0,8.6,0.351,0,1
APP-1321,Group B,66689.31,635.0,,0.452,1,1
APP-1322,Group B,67100.93,600.0,2.6,0.25,0,1
APP-1323,Group A,96164.14,757.0,8.9,0.287,0,1
APP-1324,Group B,32349.38,615.0,5.7,0.445,0,1
APP-1325,Group B,50914.8,670.0,5.9,0.26,1,1
APP-1326,Group A,85013.31,712.0,7.0,0.227,0,1
APP-1327,Group B,47717.02,657.0,4.6,0.499,0,1
APP-1328,Group A,65423.25,667.0,9.1,0.249,0,1
APP-1329,Group A,62012.17,749.0,10.3,0.435,0,1
APP-1330,Group A,67614.46,717.0,1.7,0.313,0,1
APP-1331,Group B,74496.05,542.0,7.0,0.273,0,1
APP-1332,Group A,64283.97,625.0,3.7,0.379,0,1
APP-1333,Group A,85821.14,702.0,11.2,0.372,0,1
APP-1334,Group A,67804.63,644.0,5.8,0.301,0,1
APP-1335,Group A,64858.49,627.0,3.0,0.286,1,1
APP-1336,Group B,47852.79,580.0,,0.464,0,1
APP-1337,Group B,32051.37,,1.9,0.294,1,0
APP-1338,Group A,56562.8,660.0,7.6,0.286,0,1
APP-1339,Group A,73332.31,719.0,7.6,0.215,0,1
APP-1340,Group A,49008.38,751.0,9.4,0.188,0,1
APP-1341,Group A,43500.41,756.0,9.0,0.157,1,1
APP-1342,Group A,86029.53,727.0,8.2,0.174,0,1
APP-1343,Group A,57708.69,795.0,7.1,0.26,0,1
APP-1344,Group A,86441.15,707.0,10.4,0.253,0,1
APP-1345,Group B,36440.96,631.0,,0.379,0,1
APP-1346,Group B,44138.24,536.0,,0.498,1,1
APP-1347,Group A,91150.62,661.0,8.1,0.325,0,1
APP-1348,Group A,59324.69,675.0,4.3,0.213,0,1
APP-1349,Group B,82690.25,,8.0,0.46,0,1
APP-1350,Group A,84993.7,734.0,7.2,0.339,0,1
APP-1351,Group B,77506.37,684.0,4.4,0.531,0,1
APP-1352,Group B,64299.92,626.0,6.7,0.596,0,1
APP-1353,Group A,91206.9,697.0,10.3,0.331,0,1
APP-1354,Group A,48227.88,745.0,5.2,0.418,0,1
APP-1355,Group B,61689.83,652.0,2.8,0.183,0,1
APP-1356,Group A,75507.77,614.0,7.0,0.225,1,1
APP-1357,Group A,80041.21,691.0,12.2,0.199,0,1
APP-1358,Group B,46978.67,622.0,6.0,0.394,1,1
APP-1359,Group A,61112.84,726.0,4.0,0.191,0,1
APP-1360,Group A,133981.89,772.0,2.9,0.174,0,1
APP-1361,Group B,39974.73,705.0,1.1,0.224,1,1
APP-1362,Group A,70404.01,667.0,7.5,0.519,0,1
APP-1363,Group A,83353.47,752.0,7.5,0.293,0,1
APP-1364,Group B,89017.78,566.0,5.2,0.267,0,1
APP-1365,Group A,54259.65,747.0,7.3,0.42,0,1
APP-1366,Group B,39227.56,558.0,,0.329,1,1
APP-1367,Group B,26482.77,679.0,3.6,0.301,0,1
APP-1368,Group A,95427.67,814.0,2.2,0.13,0,1
APP-1369,Group A,96718.53,763.0,7.0,0.176,0,1
APP-1370,Group A,81556.42,756.0,4.0,0.287,0,1
APP-1371,Group A,68285.38,671.0,8.3,0.216,0,1
APP-1372,Group A,92169.02,698.0,7.1,0.164,0,1
APP-1373,Group B,51177.4,590.0,,0.456,1,1
APP-1374,Group A,80612.73,798.0,8.1,0.311,0,1
APP-1375,Group A,33283.68,701.0,6.3,0.394,0,1
APP-1376,Group B,37599.31,636.0,7.1,0.314,1,1
APP-1377,Group A,69485.96,757.0,8.5,0.284,0,1
APP-1378,Group B,41079.39,654.0,7.0,0.311,0,1
APP-1379,Group A,53442.56,676.0,3.2,0.162,0,1
APP-1380,Group A,62905.11,600.0,9.7,0.382,0,1
APP-1381,Group B,48238.83,,4.7,0.511,0,1
APP-1382,Group B,60231.05,,5.8,0.439,1,1
APP-1383,Group B,31403.29,644.0,6.7,0.513,1,1
APP-1384,Group B,44025.21,,4.7,0.406,1,1
APP-1385,Group B,61745.34,734.0,6.0,0.391,1,0
APP-1386,Group A,54349.52,730.0,12.4,0.263,0,1
APP-1387,Group A,62393.75,660.0,4.7,0.225,0,1
APP-1388,Group B,52281.13,699.0,,0.512,1,1
APP-1389,Group B,71950.08,679.0,6.3,0.25,0,1
APP-1390,Group B,55093.11,676.0,1.1,0.27,0,1
APP-1391,Group A,54733.68,745.0,2.4,0.329,0,1
APP-1392,Group A,86046.0,741.0,4.9,0.327,0,1
APP-1393,Group B,34910.36,733.0,2.8,0.353,0,1
APP-1394,Group A,81993.0,632.0,7.3,0.259,0,1
APP-1395,Group B,64073.34,621.0,2.8,0.424,1,1
APP-1396,Group B,65622.2,680.0,1.5,0.336,0,1
APP-1397,Group A,99295.94,680.0,1.6,0.331,0,1
APP-1398,Group B,63197.26,,,0.469,1,1
APP-1399,Group B,69401.69,661.0,8.1,0.535,1,1
APP-1400,Group A,67971.72,788.0,4.5,0.403,0,1
APP-1401,Group B,64665.55,650.0,3.5,0.416,1,1
APP-1402,Group A,87510.16,754.0,5.2,0.29,0,1
APP-1403,Group B,73411.27,716.0,5.4,0.344,0,1
APP-1404,Group A,114251.74,710.0,10.0,0.387,0,1
APP-1405,Group B,59273.83,,1.0,0.397,1,1
APP-1406,Group A,114741.22,683.0,6.0,0.307,0,1
APP-1407,Group A,85461.58,777.0,9.5,0.32,0,1
APP-1408,Group B,52783.26,676.0,0.0,0.33,0,1
APP-1409,Group A,41905.43,737.0,7.5,0.341,0,1
APP-1410,Group A,65683.89,702.0,6.8,0.244,0,1
APP-1411,Group B,68768.28,657.0,4.8,0.44,0,1
APP-1412,Group B,63331.53,588.0,,0.297,1,1
APP-1413,Group A,80773.08,714.0,10.6,0.27,0,1
APP-1414,Group B,42704.27,627.0,3.5,0.285,0,1
APP-1415,Group A,61807.95,675.0,1.8,0.262,0,1
APP-1416,Group A,69876.4,698.0,6.8,0.318,0,1
APP-1417,Group A,62746.11,763.0,4.0,0.219,0,1
APP-1418,Group B,38140.07,,2.9,0.378,0,1
APP-1419,Group B,45170.72,,6.2,0.322,0,1
APP-1420,Group B,51434.09,585.0,5.4,0.181,1,1
APP-1421,Group B,56255.52,571.0,1.1,0.362,1,1
APP-1422,Group A,73090.72,621.0,6.8,0.213,0,1
APP-1423,Group A,51282.79,594.0,8.6,0.411,0,1
APP-1424,Group A,84641.33,728.0,8.2,0.126,0,1
APP-1425,Group A,51312.8,685.0,12.1,0.274,0,1
APP-1426,Group A,99937.83,707.0,9.9,0.251,0,1
APP-1427,Group B,42529.08,512.0,2.8,0.394,0,1
APP-1428,Group A,113082.73,791.0,13.7,0.267,0,1
APP-1429,Group A,33066.49,753.0,4.3,0.312,0,1
APP-1430,Group A,63222.66,668.0,5.2,0.237,0,1
APP-1431,Group B,58846.87,628.0,,0.405,0,1
APP-1432,Group B,73923.26,607.0,2.2,0.337,1,1
APP-1433,Group A,83031.21,733.0,8.6,0.202,0,1
APP-1434,Group A,83172.15,695.0,4.5,0.209,0,1
APP-1435,Group B,57331.33,664.0,,0.429,0,1
APP-1436,Group A,33259.46,681.0,6.9,0.207,1,1
APP-1437,Group B,40188.47,,,0.449,1,1
APP-1438,Group B,41076.43,670.0,0.0,0.31,1,1
APP-1439,Group A,98433.25,692.0,5.2,0.191,0,1
APP-1440,Group A,90364.14,721.0,8.5,0.594,0,1
APP-1441,Group B,53014.05,607.0,,0.338,0,0
APP-1442,Group A,74089.76,689.0,5.3,0.306,0,1
APP-1443,Group A,58708.1,683.0,10.7,0.241,0,1
APP-1444,Group B,42363.97,663.0,,0.436,1,1
APP-1445,Group B,65371.47,647.0,2.4,0.343,0,1
APP-1446,Group B,53765.22,724.0,,0.435,0,1
APP-1447,Group B,61097.28,653.0,5.7,0.214,1,1
APP-1448,Group A,92383.09,687.0,4.3,0.356,0,1
APP-1449,Group A,94825.17,762.0,3.7,0.178,0,1
APP-1450,Group B,22489.29,614.0,6.5,0.313,1,1
APP-1451,Group A,65631.32,652.0,3.7,0.304,1,1
APP-1452,Group A,76704.19,560.0,6.4,0.15,0,1
APP-1453,Group B,66845.48,693.0,6.2,0.377,1,1
APP-1454,Group A,56021.67,797.0,9.8,0.261,1,1
APP-1455,Group A,69596.8,740.0,3.7,0.354,0,1
APP-1456,Group A,64420.45,657.0,10.7,0.259,0,1
